Created By,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA)
Sources,"Election Commission of Malaysia (SPR), Tindak Malaysia (2023), Schiavina M., Melchiorri M., Pesaresi M. (2023): GHS-SMOD R2023A - GHS settlement layers, application of the Degree of Urbanisation methodology (stage I) to GHS-POP R2023A and GHS-BUILT-S R2023A, multitemporal (1975-2030)European Commission, Joint Research Centre (JRC) PID: http://data.europa.eu/89h/a0df7a6f-49de-46ea-9bde-563437a6e2ba, doi:10.2905/A0DF7A6F-49DE-46EA-9BDE-563437A6E2BA"
Disclaimers,All the percentages for electoral demographics are calculated by Tindak Malaysia using Electoral Roll data. There is no official ethnic demographic data. All ethnic data is an estimate. There could be slight overcounting of Bidayuh voters and slight undercounting of Iban voters. TindakMalaysia Network Services PLT is not responsible for any errors or ommissions arising from the original data or its derivatives
,
,
Field Name,Field Description
STATE,State Name
PARLIAMENTARY CODE,Parliamentary Code (2015 - present at the Created Date)
PARLIAMENTARY NAME,Parliamentary Name (2015 - present at the Created Date)
STATE CONSTITUENCY CODE,State Constituency (DUN) Code (2015 - present at the Created Date)
STATE CONSTITUENCY NAME,State Constituency (DUN) Name (2015 - present at the created Date)
POLLING DISTRICT CODE,Polling District Code (2015 - present at the Created Date)
POLLING DISTRICT NAME,Polling District Name (2015 - present at the Created Date)
TOTAL ELECTORS,Total Elector count using the Principal Electoral Roll of 2022 and updated until June 2023 which was gazetted on 8/9/2023
MALAY/MELANAU (%),Proportion of Malay/Melanau Electors for the Polling District (%)
CHINESE (%),Proportion of Chinese Electors for the Polling District (%)
IBAN (%),Proportion of Iban Electors for the Polling District (%)
BIDAYUH (%),Proportion of Bidayuh Electors for the Polling District (%)
ORANG ULU (%),Proportion of Orang Ulu Electors for the Polling District (%)
OTHERS (%),Proportion of Others Electors for the Polling District (%)
ELECTORS - NORMAL VOTERS (%),Proportion of Electors - Normal Electors for the Polling District (%)
ELECTORS - ABSENT VOTERS (%),Proportion of Electors - Absent Electors for the Polling District (%)
ELECTORS - POLICE (%),Proportion of Electors - Police Electors for the Polling District (%)
ELECTORS - MILITARY (%),Proportion of Electors - Military Electors for the Polling District (%)
18-20 (%),Proportion of 18-20 Electors for the Polling District (%)
21-29 (%),Proportion of 21-29 Electors for the Polling District (%)
30-39 (%),Proportion of 30-39 Electors for the Polling District (%)
40-49 (%),Proportion of 40-49 Electors for the Polling District (%)
50-59 (%),Proportion of 50-59 Electors for the Polling District (%)
60-69 (%),Proportion of 60-69 Electors for the Polling District (%)
70-79 (%),Proportion of 70-79 Electors for the Polling District (%)
80-89 (%),Proportion of 80-89 Electors for the Polling District (%)
90 AND ABOVE (%),Proportion of 90 and Above Electors for the Polling District (%)
MALE ELECTORS (%),Proportion of Male Electors for the Polling District (%)
FEMALE ELECTORS (%),Proportion of Women Electors for the Polling District (%)
URBAN-RURAL CLASSIFICATION (2023),Polling District urbanization classification
